x,y
35200.0,16875800.0
40452.0,16822800.0
47727.00000000001,16561500.0
53385.99999999999,16300600.0
61868.99999999999,16246900.0
68741.0,15933800.000000002
75616.0,15516800.0
83699.0,15203400.0
90977.0,14838200.0
96637.0,14525400.0
102297.99999999999,14212500.0
107958.0,13899600.0
112001.00000000001,13691000.0
116046.0,13378500.0
120898.0,13117700.0
126559.00000000001,12804900.0
133028.0,12439900.0
139093.0,12126900.0
143945.0,11866199.999999998
149200.0,11605400.0
154457.0,11292600.0
159310.0,10979900.0
167799.0,10614500.0
174266.0,10353400.0
183154.0,10195700.0
189622.0,9934600.0
197301.0,9673300.0
205380.0,9567700.0
211442.0,9410600.0
216692.0,9409500.0
