0	600	0.0537667
0.001	600.1	0.365102
0.002	600.2	0.134357
0.003	600.3	0.618723
0.004	600.4	0.727323
0.005	600.5	0.715564
0.006	600.6	0.939444
0.007	600.7	1.13704
0.008	600.8	1.56257
0.009	600.9	1.56427
0.01	601	1.21492
0.011	601.1	1.69623
0.012	601.2	1.48817
0.013	601.3	1.41338
0.014	601.4	1.47764
0.015	601.5	1.35606
0.016	601.6	1.32052
0.017	601.7	1.42652
0.018	601.8	1.35351
0.019	601.9	1.2824
0.02	602	1.13137
0.021	602.1	0.864882
0.022	602.2	0.979293
0.023	602.3	0.994821
0.024	602.4	0.808946
0.025	602.5	0.797625
0.026	602.6	0.707749
0.027	602.7	0.553227
0.028	602.8	0.569701
0.029	602.9	0.426293
0.03	603	0.566639
0.031	603.1	0.34265
0.032	603.2	0.336456
0.033	603.3	0.353445
0.034	603.4	0.134451
0.035	603.5	0.570191
0.036	603.6	0.456459
0.037	603.7	0.345293
0.038	603.8	0.552928
0.039	603.9	0.23581
0.04	604	0.383965
0.041	604.1	0.351781
0.042	604.2	0.383867
0.043	604.3	0.353097
0.044	604.4	0.198968
0.045	604.5	0.240662
0.046	604.6	0.18011
0.047	604.7	0.208138
0.048	604.8	0.200144
0.049	604.9	0.145037
0.05	605	-0.110096
0.051	605.1	-0.0728328
0.052	605.2	-0.257378
0.053	605.3	-0.299438
0.054	605.4	-0.236596
0.055	605.5	-0.12538
0.056	605.6	-0.393393
0.057	605.7	-0.310392
0.058	605.8	-0.395388
0.059	605.9	-0.280091
0.06	606	-0.51501
0.061	606.1	-0.411831
0.062	606.2	-0.365341
0.063	606.3	-0.31369
0.064	606.4	-0.27158
0.065	606.5	-0.420656
0.066	606.6	-0.583832
0.067	606.7	-0.517478
0.068	606.8	-0.56329
0.069	606.9	-0.241429
0.07	607	-0.566162
0.071	607.1	-0.464944
0.072	607.2	-0.603081
0.073	607.3	-0.546962
0.074	607.4	-0.772927
0.075	607.5	-0.90419
0.076	607.6	-0.979489
0.077	607.7	-0.86554
0.078	607.8	-1.01223
0.079	607.9	-1.09419
0.08	608	-1.00999
0.081	608.1	-1.19587
0.082	608.2	-1.27047
0.083	608.3	-1.186
0.084	608.4	-1.46796
0.085	608.5	-1.34433
0.086	608.6	-1.3401
0.087	608.7	-1.43902
0.088	608.8	-1.36347
0.089	608.9	-1.45159
0.09	609	-1.37813
0.091	609.1	-1.15988
0.092	609.2	-0.985313
0.093	609.3	-0.667126
0.094	609.4	-0.845377
0.095	609.5	-0.597371
0.096	609.6	-0.450614
0.097	609.7	-0.454069
0.098	609.8	-0.116997
0.099	609.9	-0.0643758
0.1	610	0.386521
0.101	610.1	0.393975
0.102	610.2	0.664984
0.103	610.3	0.760043
0.104	610.4	0.98999
0.105	610.5	1.0269
0.106	610.6	1.24481
0.107	610.7	1.35788
0.108	610.8	1.5223
0.109	610.9	1.37638
0.11	611	1.20551
0.111	611.1	1.33992
0.112	611.2	1.54539
0.113	611.3	1.27004
0.114	611.4	1.42751
0.115	611.5	1.28453
0.116	611.6	1.34761
